Description_EN,Description_RU,Omega3 (g)
"Fish, catfish, channel, wild, raw","Сом каналовый, сырой",0.464
"Fish, catfish, farm raised, raw","Сом, аквакультура, сырой",0.089
"Fish, cisco, raw","Сиг, сырой",0.405
"Fish, cisco, smoked","Сиг, копчёный",1.519
"Fish, cod, Atlantic, cooked, dry heat","Треска атлантическая, приготовленная, сухое тепло",0.171
"Fish, cod, Atlantic, raw","Треска атлантическая, сырой",0.194
"Fish, cod, Pacific, cooked","Треска тихоокеанская, приготовленный",0.082
"Fish, cod, Pacific, cooked, dry heat (may contain additives to retain moisture)","Треска тихоокеанская, приготовленный, сухое тепло",0.165
"Fish, cod, Pacific, raw","Треска тихоокеанская, сырой",0.082
"Fish, croaker, Atlantic, cooked, breaded and fried","Атлантический горбыль, в панировке, жареный",0.281
"Fish, cusk, raw","Бросме, сырой",0.833
"Fish, drum, freshwater, raw","Пресноводный барабанщик (рыба), сырой",0.661
"Fish, drum, freshwater, cooked, dry heat","Пресноводный барабанщик (рыба), приготовленный, сухое тепло",0.848
"Fish, eel, mixed species, cooked, dry heat","Угорь (разные виды), приготовленный, сухое тепло",0.284
"Fish, eel, mixed species, raw","Угорь (разные виды), сырой",0.221
"Fish, flounder and sole, mixed species, cooked, dry heat","Камбала/Солея (разные виды), приготовленный, сухое тепло",0.334
"Fish, flatfish (flounder and sole species), raw","Камбала, солея (разные виды), сырой",0.273
"Fish, flatfish (flounder and sole species), cooked, dry heat","Камбала, солея (разные виды), приготовленный, сухое тепло",0.334
"Fish, gefiltefish, commercial, sweet recipe","Гефилте фиш (сладкое блюдо из рубленой рыбы)",0.147
"Fish, grouper, mixed species, cooked, dry heat","Групер (разные виды), приготовленный, сухое тепло",0.265
"Fish, grouper, mixed species, raw","Групер (разные виды), сырой",0.257
"Fish, haddock, cooked, dry heat","Пикша, приготовленный, сухое тепло",0.166
"Fish, haddock, raw","Пикша, сырой",0.136
"Fish, haddock, smoked","Пикша, копчёный",0.272
"Fish, halibut, Atlantic and Pacific, cooked, dry heat","Палтус атлантический/тихоокеанский, приготовленный, сухое тепло",0.255
"Fish, halibut, Atlantic and Pacific, raw","Палтус атлантический/тихоокеанский, сырой",0.000
"Fish, halibut, Greenland, cooked, dry heat","Палтус гренландский, приготовленный, сухое тепло",1.292
"Fish, halibut, Greenland, raw","Палтус гренландский, сырой",1.008
"Fish, herring, Atlantic, cooked, dry heat","Сельдь атлантическая (селёдка), приготовленная, сухое тепло",2.080
"Fish, herring, Atlantic, kippered","Сельдь атлантическая (селёдка), копчёно-сушёная (киппер)",2.225
"Fish, herring, Atlantic, pickled","Сельдь атлантическая (селёдка), маринованная",1.468
"Fish, herring, Atlantic, raw","Сельдь атлантическая (селёдка), сырой",1.626
"Fish, herring, Pacific, cooked, dry heat","Сельдь тихоокеанская, приготовленная, сухое тепло",2.343
"Fish, herring, Pacific, raw","Сельдь тихоокеанская, сырой",1.830
"Fish, lingcod, cooked, dry heat (may contain additives to retain moisture)","Линь-треска, приготовленный, сухое тепло",0.165
"Fish, mahimahi, raw","Махи-махи, сырой",0.117
"Fish, mackerel, Atlantic, cooked, dry heat","Скумбрия атлантическая, приготовленная, сухое тепло",1.309
"Fish, mackerel, Atlantic, raw","Скумбрия атлантическая, сырой",2.510
"Fish, mackerel, Pacific and jack, mixed species, cooked, dry heat","Скумбрия (тихоокеанская и ставрида), приготовленная, сухое тепло",2.011
"Fish, mackerel, Pacific and jack, mixed species, raw","Скумбрия (тихоокеанская и ставрида), сырой",1.564
"Fish, mackerel, Spanish, cooked, dry heat","Скумбрия испанская, приготовленная, сухое тепло",1.341
"Fish, mackerel, Spanish, raw","Скумбрия испанская, сырой",1.440
"Fish, mackerel, king, cooked, dry heat","Скумбрия королевская, приготовленная, сухое тепло",0.423
"Fish, mackerel, king, raw","Скумбрия королевская, сырой",0.330
"Fish, mackerel, jack, canned, drained solids","Ставрида, консервированный, жидкость слита",1.334
"Fish, mackerel, salted","Скумбрия солёный",4.971
"Fish, mullet, striped, cooked, dry heat","Кефаль полосатая, приготовленная, сухое тепло",0.420
"Fish, mullet, striped, raw","Кефаль полосатая, сырой",0.424
"Fish, ocean perch, Atlantic, cooked, dry heat","Морской окунь атлантический, приготовленный, сухое тепло",0.273
"Fish, ocean perch, Atlantic, raw","Морской окунь атлантический, сырой",0.225
"Fish, perch, mixed species, cooked, dry heat","Окунь (разные виды), приготовленный, сухое тепло",0.360
"Fish, perch, mixed species, raw","Окунь (разные виды), сырой",0.281
"Fish, pickerel, cooked, dry heat","Щука канадская (pickerel), приготовленная, сухое тепло",1.067
"Fish, pickerel, raw","Щука канадская (pickerel), сырой",0.833
"Fish, pike, northern, cooked, dry heat","Щука, приготовленная, сухое тепло",0.155
"Fish, pike, northern, raw","Щука, сырой",0.121
"Fish, pike, walleye, cooked, dry heat","Судак (североамериканский), приготовленный, сухое тепло",0.447
"Fish, pike, walleye, raw","Судак (североамериканский), сырой",0.349
"Fish, pollock, Alaska, cooked","Минтай, приготовленный",0.345
"Fish, pollock, Alaska, cooked, dry heat (may contain additives to retain moisture)","Минтай, приготовленный, сухое тепло",0.536
"Fish, pollock, Alaska, raw","Минтай, сырой",0.244
"Fish, pollock, Alaska, raw (may contain additives to retain moisture)","Минтай, сырой",0.169
"Fish, pollock, Atlantic, cooked, dry heat","Сайда, приготовленная, сухое тепло",0.570
"Fish, pollock, Atlantic, raw","Сайда, сырой",0.443
"Fish, pout, ocean, raw","Океанический зубар (ocean pout), сырой",0.225
"Fish, salmon, Atlantic, farm raised, raw","Сёмга (атлантический лосось), сырой",2.355
"Fish, salmon, Atlantic, farmed, cooked, dry heat","Сёмга (атлантический лосось), приготовленный, сухое тепло",2.320
"Fish, salmon, Atlantic, farmed, raw","Сёмга (атлантический лосось), сырой",2.355
"Fish, salmon, Atlantic, wild, cooked, dry heat","Сёмга (атлантический лосось), приготовленный, сухое тепло",2.209
"Fish, salmon, Atlantic, wild, raw","Сёмга (атлантический лосось), сырой",1.728
"Fish, salmon, Chinook, cooked, dry heat","Чавыча (королевский лосось), приготовленный, сухое тепло",2.033
"Fish, salmon, Chinook, raw","Чавыча (королевский лосось), сырой",2.255
"Fish, salmon, Chinook, smoked","Чавыча (королевский лосось), копчёный",0.523
"Fish, salmon, Chinook, smoked, (lox), regular","Чавыча (королевский лосось), копчёный (локс), обычный",0.523
"Fish, salmon, Coho, farmed, cooked, dry heat","Кижуч (серебристый лосось), приготовленный, сухое тепло",1.279
"Fish, salmon, Coho, farmed, raw","Кижуч (серебристый лосось), сырой",1.206
"Fish, salmon, Coho, wild, cooked, dry heat","Кижуч (серебристый лосось), приготовленный, сухое тепло",1.059
"Fish, salmon, Coho, wild, cooked, moist heat","Кижуч (серебристый лосось), приготовленный, влажное тепло",1.668
"Fish, salmon, Coho, wild, raw","Кижуч (серебристый лосось), сырой",1.317
"Fish, salmon, Chum, canned, drained solids with bone","Кета, консервированный, жидкость слита, с костями",1.265
"Fish, salmon, Chum, canned, without salt, drained solids with bone","Кета, консервированный, без соли, жидкость слита, с костями",1.265
"Fish, salmon, Chum, cooked, dry heat","Кета, приготовленный, сухое тепло",0.905
"Fish, salmon, Chum, raw","Кета, сырой",0.706
"Fish, salmon, Pink, canned, drained solids","Горбуша (розовый лосось), консервированный, жидкость слита",1.166
"Fish, salmon, Pink, canned, drained solids, without skin and bones","Горбуша (розовый лосось), консервированный, жидкость слита, без кожи и костей",1.029
"Fish, salmon, Pink, canned, without salt, solids with bone and liquid","Горбуша (розовый лосось), консервированный, без соли, с костями и жидкостью",1.699
"Fish, salmon, Pink, cooked, dry heat","Горбуша (розовый лосось), приготовленный, сухое тепло",0.674
"Fish, salmon, Pink, raw","Горбуша (розовый лосось), сырой",0.562
"Fish, salmon, Sockeye, canned, drained solids","Нерка (красный лосось), консервированный, жидкость слита",0.000
"Fish, salmon, Sockeye, canned, without salt, drained solids with bone","Нерка (красный лосось), консервированный, без соли, жидкость слита, с костями",1.233
"Fish, salmon, Sockeye, cooked, dry heat","Нерка (красный лосось), приготовленная, сухое тепло",0.952
"Fish, salmon, Sockeye, raw","Нерка (красный лосось), сырой",0.801
"Fish, salmon, canned, total can contents","Лосось, консервированный, всё содержимое банки",1.078
"Fish, seatrout, mixed species, cooked, dry heat","Морская форель, приготовленная, сухое тепло",0.573
"Fish, seatrout, mixed species, raw","Морская форель, сырой",0.448
"Fish, shark, mixed species, cooked, batter-dipped and fried","Акула (разные виды), в кляре, жареный",0.778
"Fish, shark, mixed species, raw","Акула (разные виды), сырой",0.952
"Fish, sheepshead, cooked, dry heat","Sheepshead, приготовленный, сухое тепло",0.230
"Fish, sheepshead, raw","Sheepshead, сырой",0.000
"Fish, snapper, mixed species, cooked, dry heat","Луциан (разные виды), приготовленный, сухое тепло",0.343
"Fish, snapper, mixed species, raw","Луциан (разные виды), сырой",0.376
"Fish, sturgeon, mixed species, cooked, dry heat","Осётр (разные виды), приготовленный, сухое тепло",0.426
"Fish, sturgeon, mixed species, raw","Осётр (разные виды), сырой",0.332
"Fish, sturgeon, mixed species, smoked","Осётр (разные виды), копчёный",0.206
"Fish, sucker, white, raw","Морской присосок (white sucker), сырой",0.552
"Fish, sunfish, pumpkin seed, raw","Солнечная рыба (pumpkinseed), сырой",0.142
"Fish, swordfish, cooked, dry heat","Рыба-меч, приготовленная, сухое тепло",1.067
"Fish, swordfish, raw","Рыба-меч, сырой",0.897
"Fish, tilapia, farm raised, raw","Тилапия, аквакультура, сырой",0.134
"Fish, tilapia, raw","Тилапия, сырой",0.134
"Fish, tilapia, cooked, dry heat","Тилапия, приготовленная, сухое тепло",0.195
"Fish, trout, brook, raw, New York State","Форель ручьевая, сырой",0.354
"Fish, trout, mixed species, cooked, dry heat","Форель (разные виды), приготовленная, сухое тепло",1.171
"Fish, trout, mixed species, raw","Форель (разные виды), сырой",0.913
"Fish, trout, rainbow, farmed, cooked, dry heat","Форель радужная, аквакультура, приготовленная, сухое тепло",0.984
"Fish, trout, rainbow, farmed, raw","Форель радужная, аквакультура, сырой",0.824
"Fish, trout, rainbow, wild, cooked, dry heat","Форель радужная, приготовленная, сухое тепло",0.988
"Fish, trout, rainbow, wild, raw","Форель радужная, сырой",0.693
"Fish, tuna, fresh, bluefin, cooked, dry heat","Синий тунец, приготовленный, сухое тепло",1.663
"Fish, tuna, fresh, bluefin, raw","Синий тунец, сырой",1.298
"Fish, tuna, fresh, skipjack, raw","Полосатый тунец, сырой",0.269
"Fish, tuna, fresh, yellowfin, raw","Желтоперый тунец, сырой",0.104
"Fish, tuna, light, canned in oil, drained solids","Светлый тунец, консервированный в масле, жидкость слита",0.090
"Fish, tuna, light, canned in water, drained solids","Светлый тунец, консервированный в воде, жидкость слита",0.203
"Fish, tuna, light, canned in water, without salt, drained solids","Светлый тунец, консервированный в воде, без соли, жидкость слита",0.251
"Fish, tuna, skipjack, fresh, cooked, dry heat","Полосатый тунец, приготовленный, сухое тепло",0.345
"Fish, tuna, white, canned in oil, drained solids","Белый тунец (альбакор), консервированный в масле, жидкость слита",0.174
"Fish, tuna, white, canned in oil, without salt, drained solids","Белый тунец (альбакор), консервированный в масле, без соли, жидкость слита",0.090
"Fish, tuna, white, canned in water, drained solids","Белый тунец (альбакор), консервированный в воде, жидкость слита",0.792
"Fish, tuna, white, canned in water, without salt, drained solids","Белый тунец (альбакор), консервированный в воде, без соли, жидкость слита",0.792
"Fish, whitefish, mixed species, raw","Белая рыба (разные виды), сырой",1.421
"Fish, whiting, mixed species, cooked, dry heat","Хек (мерлуза), приготовленный, сухое тепло",0.535
"Fish, whiting, mixed species, raw","Хек (мерлуза), сырой",0.242
"Crustaceans, crab, Alaska king, imitation, made from surimi","Краб камчатский, имитация из сурими",0.177
"Crustaceans, crab, Alaska king, raw","Краб камчатский, сырой",0.177
"Crustaceans, crab, Alaska king, cooked, moist heat","Краб камчатский, приготовленный, влажное тепло",0.162
"Crustaceans, crab, blue, canned","Краб голубой, консервированный",0.177
"Crustaceans, crab, blue, cooked, moist heat","Краб голубой, приготовленный, влажное тепло",0.162
"Crustaceans, crab, blue, crab cakes, home recipe","Краб голубой, крабовые котлеты (домашний рецепт)",0.177
"Crustaceans, crab, blue, raw","Краб голубой, сырой",0.177
"Crustaceans, crab, dungeness, cooked, moist heat","Краб дангенесс, приготовленный, влажное тепло",0.162
"Crustaceans, crab, dungeness, raw","Краб дангенесс, сырой",0.177
"Crustaceans, crab, queen, cooked, moist heat","Краб снежный, приготовленный, влажное тепло",0.162
"Crustaceans, crab, queen, raw","Краб снежный, сырой",0.177
"Crustaceans, crayfish, mixed species, farmed, cooked, moist heat","Раки (разные виды), аквакультура, приготовленные, влажное тепло",0.162
"Crustaceans, crayfish, mixed species, farmed, raw","Раки (разные виды), аквакультура, сырой",0.149
"Crustaceans, crayfish, mixed species, wild, cooked, moist heat","Раки (разные виды), приготовленные, влажное тепло",0.166
"Crustaceans, crayfish, mixed species, wild, raw","Раки (разные виды), сырой",0.152
"Crustaceans, lobster, northern, cooked, moist heat","Омар (северный), приготовленный, влажное тепло",0.162
"Crustaceans, lobster, northern, raw","Омар (северный), сырой",0.149
"Crustaceans, shrimp, mixed species, canned","Креветки, консервированные",0.597
"Crustaceans, shrimp, mixed species, cooked, breaded and fried","Креветки, в панировке, жареные",0.597
"Crustaceans, shrimp, mixed species, cooked, moist heat (may contain additives to retain moisture)","Креветки, приготовленные, влажное тепло",0.165
"Crustaceans, shrimp, mixed species, raw (may contain additives to retain moisture)","Креветки, сырой",0.169
"Crustaceans, shrimp, mixed species, imitation, made from surimi","Креветки, имитация из сурими",0.597
"Crustaceans, spiny lobster, mixed species, cooked, moist heat","Лангуст, приготовленный, влажное тепло",0.162
"Crustaceans, spiny lobster, mixed species, raw","Лангуст, сырой",0.149
"Mollusks, abalone, mixed species, cooked, fried","Абалон (морское ушко), жареный",0.222
"Mollusks, abalone, mixed species, raw","Абалон (морское ушко), сырой",0.111
"Mollusks, clam, mixed species, canned, drained solids","Моллюски двустворчатые (клэм), консервированные, жидкость слита",0.188
"Mollusks, clam, mixed species, canned, liquid","Моллюски двустворчатые (клэм), консервированные, жидкость",0.004
"Mollusks, clam, mixed species, cooked, breaded and fried","Моллюски двустворчатые (клэм), в панировке, жареные",0.004
"Mollusks, clam, mixed species, cooked, moist heat","Моллюски двустворчатые (клэм), приготовленные, влажное тепло",0.222
"Mollusks, clam, mixed species, raw","Моллюски двустворчатые (клэм), сырой",0.004
"Mollusks, conch, baked or broiled","Конк, запечённый или жареный",0.489
"Mollusks, cuttlefish, mixed species, cooked, moist heat","Каракатица (разные виды), приготовленная, влажное тепло",0.222
"Mollusks, cuttlefish, mixed species, raw","Каракатица (разные виды), сырой",0.111
"Mollusks, mussel, blue, cooked, moist heat","Мидии голубые, приготовленные, влажное тепло",0.222
"Mollusks, mussel, blue, raw","Мидии голубые, сырой",0.111
"Mollusks, octopus, common, cooked, moist heat","Осьминог, приготовленный, влажное тепло",0.222
"Mollusks, octopus, common, raw","Осьминог, сырой",0.111
"Mollusks, oyster, Pacific, cooked, moist heat","Устрицы тихоокеанские, приготовленные, влажное тепло",0.222
"Mollusks, oyster, Pacific, raw","Устрицы тихоокеанские, сырой",0.489
"Mollusks, oyster, eastern, canned","Устрицы восточные, консервированный",0.489
"Mollusks, oyster, eastern, farmed, cooked, dry heat","Устрицы восточные, приготовленные, сухое тепло",0.489
"Mollusks, oyster, eastern, farmed, raw","Устрицы восточные, аквакультура, сырой",0.489
"Mollusks, oyster, eastern, wild, cooked, dry heat","Устрицы восточные, приготовленные, сухое тепло",0.489
"Mollusks, oyster, eastern, wild, raw","Устрицы восточные, сырой",0.489
"Mollusks, oyster, eastern, cooked, breaded and fried","Устрицы восточные, в панировке, жареные",0.489
"Mollusks, oyster, eastern, canned","Устрицы восточные, консервированный",0.489
"Mollusks, scallop, (bay and sea), cooked, steamed","Гребешки (бухтовые и морские), приготовленные на пару",0.222
"Mollusks, scallop, mixed species, cooked, breaded and fried","Гребешки, приготовленные, в панировке, жареные",0.222
"Mollusks, scallop, mixed species, imitation, made from surimi","Гребешки, имитация из сурими",0.111
"Mollusks, scallop, mixed species, raw","Гребешки, сырой",0.111
"Mollusks, snail, raw","Улитки, сырой",0.111
"Mollusks, squid, mixed species, cooked, fried","Кальмар (разные виды), приготовленный, жареный",0.222
"Mollusks, squid, mixed species, raw","Кальмар (разные виды), сырой",0.111
"Mollusks, whelk, unspecified, cooked, moist heat","Морской моллюск (whelk), приготовленный, влажное тепло",0.222
"Mollusks, whelk, unspecified, raw","Морской моллюск (whelk), сырой",0.111
"Fish oil, cod liver","Рыбий жир из печени трески",18.835
"Fish oil, herring","Рыбий жир из сельди",2.225
"Fish oil, menhaden","Рыбий жир менхаден",26.680
"Fish oil, salmon","Рыбий жир лососёвый",34.190
"Fish oil, sardine","Рыбий жир сардины",22.770
